unitid,"cipcode",awlevel,_type_,_freq_,crace15,crace16
101037,"99.0000",3,7,1,5,1
101073,"24.0000",3,7,1,12,51
101073,"99.0000",3,7,1,12,51
101107,"07.0000",3,7,3,4,32
101107,"12.0000",2,7,2,5,30
101107,"17.0000",2,7,1,2,24
101107,"46.0000",4,7,1,2,0
101107,"47.0000",2,7,1,2,0
101107,"47.0000",3,7,2,2,1
101107,"47.0000",4,7,6,18,4
101107,"48.0000",2,7,2,6,0
101107,"48.0000",3,7,1,1,1
101107,"48.0000",4,7,1,1,2
101107,"99.0000",2,7,1,15,54
101107,"99.0000",3,7,1,7,34
101107,"99.0000",4,7,1,21,6
101116,"06.0000",2,7,1,0,10
101116,"06.0000",3,7,2,3,6
101116,"07.0000",2,7,4,0,22
101116,"07.0000",3,7,1,0,2
101116,"11.0000",2,7,1,2,3
101116,"11.0000",3,7,1,2,10
101116,"17.0000",1,7,1,3,21
101116,"17.0000",2,7,1,0,7
101116,"17.0000",3,7,1,1,7
101116,"99.0000",1,7,1,3,21
101116,"99.0000",2,7,1,2,42
101116,"99.0000",3,7,1,6,25
101125,"17.0000",4,7,1,2,8
101125,"99.0000",4,7,1,2,8
101143,"06.0000",3,7,1,1,
101143,"07.0000",2,7,5,2,18
101143,"07.0000",3,7,5,2,28
101143,"10.0000",2,7,1,1,
101143,"11.0000",2,7,1,3,5
101143,"11.0000",3,7,1,3,9
101143,"17.0000",3,7,1,,1
101143,"20.0000",2,7,1,,6
101143,"20.0000",3,7,1,,4
101143,"24.0000",3,7,1,68,110
101143,"43.0000",1,7,1,1,1
101143,"49.0000",3,7,1,12,
101143,"49.0000",4,7,1,12,
101143,"99.0000",1,7,1,1,1
101143,"99.0000",2,7,1,6,29
101143,"99.0000",3,7,1,86,152
101143,"99.0000",4,7,1,12,
101161,"06.0000",3,7,3,14,19
101161,"07.0000",2,7,4,,12
101161,"07.0000",3,7,2,3,5
101161,"09.0000",3,7,1,2,
101161,"11.0000",3,7,1,1,2
101161,"13.0000",3,7,2,4,19
101161,"14.0000",3,7,1,1,
101161,"17.0000",2,7,1,,11
101161,"18.0000",3,7,1,1,1
101161,"22.0000",3,7,2,,7
101161,"24.0000",3,7,1,6,12
101161,"26.0000",3,7,1,1,
101161,"43.0000",3,7,1,1,3
101161,"99.0000",2,7,1,,23
101161,"99.0000",3,7,1,34,68
101189,"06.0000",3,7,1,24,44
101189,"06.0000",5,7,1,10,16
101189,"07.0000",2,7,2,,7
101189,"07.0000",3,7,2,,23
101189,"11.0000",2,7,1,1,7
101189,"11.0000",3,7,1,12,7
101189,"13.0000",5,7,3,3,11
101189,"17.0000",3,7,1,1,4
101189,"22.0101",10,7,1,20,8
101189,"24.0000",3,7,1,12,17
101189,"24.0000",5,7,1,4,4
101189,"26.0000",5,7,1,2,2
101189,"31.0000",5,7,1,2,2
101189,"39.0000",5,7,1,7,0
101189,"42.0000",5,7,1,1,1
101189,"45.0000",5,7,1,1,1
101189,"48.0000",2,7,1,,1
101189,"99.0000",2,7,1,1,15
101189,"99.0000",3,7,1,49,95
101189,"99.0000",5,7,1,30,37
101189,"99.0000",10,7,1,20,8
101240,"06.0000",3,7,3,43,39
101240,"07.0000",1,7,1,1,5
101240,"07.0000",2,7,1,,3
101240,"07.0000",3,7,3,,22
101240,"08.0000",2,7,1,,3
101240,"08.0000",3,7,1,1,
101240,"09.0000",3,7,1,9,1
101240,"09.0000",4,7,1,3,
101240,"10.0000",3,7,1,2,2
101240,"11.0000",3,7,1,8,7
101240,"12.0000",1,7,1,2,11
101240,"12.0000",2,7,2,2,16
101240,"13.0000",3,7,3,6,17
101240,"14.0000",3,7,1,10,
101240,"15.0000",3,7,4,28,2
101240,"15.0000",4,7,1,6,1
101240,"17.0000",2,7,1,1,20
101240,"17.0000",3,7,6,6,31
101240,"18.0000",3,7,1,3,60
101240,"23.0000",3,7,1,2,4
101240,"24.0000",3,7,1,19,19
101240,"26.0000",3,7,1,1,1
101240,"27.0000",3,7,1,,1
101240,"40.0000",3,7,1,3,2
101240,"42.0000",3,7,1,1,3
101240,"43.0000",3,7,1,3,1
101240,"45.0000",3,7,2,1,1
101240,"46.0000",2,7,3,21,1
101240,"47.0000",2,7,3,9,
101240,"47.0000",3,7,2,7,
101240,"47.0000",4,7,3,14,
101240,"48.0000",2,7,1,7,1
101240,"48.0000",3,7,1,6,1
101240,"48.0000",4,7,2,8,2
101240,"50.0000",3,7,1,1,
101240,"99.0000",1,7,1,3,16
101240,"99.0000",2,7,1,40,44
101240,"99.0000",3,7,1,160,214
101240,"99.0000",4,7,1,31,3
101286,"07.0000",2,7,6,3,42
101286,"07.0000",3,7,3,2,14
101286,"12.0000",2,7,1,0,36
101286,"17.0000",2,7,1,1,46
101286,"17.0000",3,7,4,9,12
101286,"18.0000",3,7,1,9,81
101286,"24.0000",3,7,1,47,51
101286,"43.0000",3,7,1,2,3
101286,"46.0000",2,7,3,19,3
101286,"46.0000",3,7,1,1,0
101286,"47.0000",2,7,7,31,1
101286,"47.0000",3,7,3,14,2
101286,"48.0000",2,7,7,18,11
101286,"48.0000",3,7,3,7,0
101286,"49.0000",3,7,1,1,0
101286,"99.0000",2,7,1,72,139
101286,"99.0000",3,7,1,92,163
101295,"01.0000",4,7,1,1,1
101295,"06.0000",3,7,2,18,18
