unitid,"cipcode",awlevel,"xcrace01",crace01,"xcrace02",crace02,"xcrace03",crace03,"xcrace04",crace04,"xcrace05",crace05,"xcrace06",crace06,"xcrace07",crace07,"xcrace08",crace08,"xcrace09",crace09,"xcrace10",crace10,"xcrace11",crace11,"xcrace12",crace12,"xcrace13",crace13,"xcrace14",crace14,"xcrace15",crace15,"xcrace16",crace16
c2000_a.csv:130794,"16.0905",7,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",2
c2000_a.csv:130794,"16.1201",7,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1
c2000_a.csv:130794,"22.0104",7,"R",15,"R",13,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"R",4,"R",4,"Z",0,"R",1,"R",19,"R",20
c2000_a.csv:130794,"23.0101",7,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"R",5,"R",2,"Z",0,"Z",0,"R",5,"R",3
c2000_a.csv:130794,"26.0101",7,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",1,"Z",0,"Z",0,"Z",0,"R",1,"R",1
c2000_a.csv:130794,"26.0401",7,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"R",1,"Z",0
c2000_a.csv:130794,"26.0402",7,"R",1,"R",2,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"R",2,"Z",0,"Z",0,"R",4,"Z",0,"Z",0,"R",1,"R",7,"R",5
c2000_a.csv:130794,"26.0499",7,"R",2,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",1,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"R",3,"R",3
c2000_a.csv:130794,"26.0608",7,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"R",1,"Z",0
c2000_a.csv:130794,"26.0705",7,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",3,"R",1,"Z",0,"Z",0,"R",3,"R",3
c2000_a.csv:130794,"27.0101",7,"R",4,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"R",5,"Z",0
c2000_a.csv:130794,"27.0501",7,"R",4,"R",2,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"Z",0,"R",6,"R",2
c2000_a.csv:130794,"30.0601",7,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"R",2,"Z",0,"Z",0,"R",1,"R",3,"R",1
c2000_a.csv:130794,"38.0101",7,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"Z",0,"Z",0,"Z",0,"R",2,"Z",0
c2000_a.csv:130794,"38.0201",7,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"R",4,"Z",0,"Z",0,"Z",0,"R",5,"Z",0
c2000_a.csv:130794,"39.0601",7,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"R",3,"Z",0,"R",1,"R",1,"R",20,"R",14,"R",1,"Z",0,"R",26,"R",15
c2000_a.csv:130794,"39.9999",7,"R",3,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",1,"R",1,"Z",0,"R",6,"R",1,"Z",0,"Z",0,"R",11,"R",2
c2000_a.csv:130794,"40.0201",7,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"R",1,"Z",0
c2000_a.csv:130794,"40.0501",7,"R",1,"R",4,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"R",1,"Z",0,"R",1,"R",4,"R",1,"Z",0,"R",5,"R",8
c2000_a.csv:130794,"40.0699",7,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",1,"R",1,"R",2,"R",2
c2000_a.csv:130794,"40.0801",7,"R",10,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"R",13,"R",1
c2000_a.csv:130794,"42.0101",7,"Z",0,"R",2,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",2,"R",1,"R",2,"R",2,"Z",0,"Z",0,"R",4,"R",6
c2000_a.csv:130794,"45.0301",7,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"R",1,"Z",0
c2000_a.csv:130794,"45.0601",7,"R",12,"R",5,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"Z",0,"Z",0,"Z",0,"R",14,"R",5
c2000_a.csv:130794,"45.0801",7,"R",2,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",2,"R",1,"R",7,"R",2,"R",2,"R",1,"R",13,"R",6
c2000_a.csv:130794,"45.0901",7,"R",8,"R",6,"Z",0,"R",1,"Z",0,"Z",0,"Z",0,"R",5,"Z",0,"R",2,"R",4,"R",4,"R",4,"R",1,"R",16,"R",19
c2000_a.csv:130794,"45.1001",7,"R",1,"Z",0,"R",2,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"R",2,"Z",0,"R",1,"Z",0,"R",6,"R",1
c2000_a.csv:130794,"45.1101",7,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"Z",0,"Z",0,"R",1,"R",1
c2000_a.csv:130794,"50.0501",7,"R",3,"R",2,"R",2,"R",2,"Z",0,"Z",0,"R",2,"R",1,"R",2,"Z",0,"R",23,"R",16,"Z",0,"R",2,"R",32,"R",23
c2000_a.csv:130794,"50.0703",7,"R",1,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"Z",0,"Z",0,"R",1,"R",3
c2000_a.csv:130794,"50.0799",7,"R",3,"R",6,"Z",0,"R",2,"R",1,"R",1,"R",1,"R",2,"R",3,"R",2,"R",17,"R",18,"Z",0,"Z",0,"R",25,"R",31
c2000_a.csv:130794,"50.0999",7,"R",15,"R",13,"Z",0,"R",2,"Z",0,"Z",0,"R",4,"R",2,"R",2,"Z",0,"R",17,"R",14,"R",2,"R",1,"R",40,"R",32
c2000_a.csv:130794,"51.0807",7,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"Z",0,"R",1,"R",1,"Z",0,"Z",0,"R",8,"R",16,"R",1,"R",1,"R",12,"R",18
