unitid,cipcode,awlevel,crace01,crace02,crace03,crace04,crace05,crace06,crace07,crace08,crace09,crace10,crace11,crace12,crace15,crace16,bal_m,bal_w
5523,470000,3,0,0,0,0,0,0,0,0,0,0,19,0,19,0,0,0
5523,480000,3,0,0,0,0,0,0,0,0,0,0,6,7,6,7,0,0
5523,990000,2,0,0,1,0,1,0,0,0,0,0,20,32,22,32,0,0
5523,990000,3,1,0,1,0,0,0,0,0,1,0,119,29,122,29,0,0
6741,130000,5,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0
6741,390000,3,0,0,0,0,0,0,0,0,0,0,1,3,1,3,0,0
6741,390000,5,1,1,0,1,0,1,1,1,2,1,17,2,21,1,0,-6
6741,990000,3,0,0,0,0,0,0,0,0,0,0,1,3,1,3,0,0
6741,990000,5,1,1,0,1,0,1,1,1,2,1,17,9,21,8,0,-6
8192,470000,1,6,0,0,0,0,0,0,0,0,0,11,0,17,0,0,0
8192,470000,2,7,0,2,0,0,0,0,0,0,0,74,0,83,0,0,0
8192,470000,3,1,0,0,0,0,0,0,0,0,0,7,0,8,0,0,0
8192,990000,1,6,0,0,0,0,0,0,0,0,0,11,0,17,0,0,0
8192,990000,2,7,0,2,0,0,0,0,0,0,0,74,0,83,0,0,0
8192,990000,3,1,0,0,0,0,0,0,0,0,0,7,0,8,0,0,0
8915,390000,5,0,0,0,0,0,0,0,0,0,0,7,3,7,3,0,0
8915,390000,7,1,0,0,0,0,0,0,0,0,0,11,8,12,8,0,0
8915,390601,10,0,0,0,0,0,0,0,0,0,0,0,0,8,7,8,7
8915,990000,5,0,0,0,0,0,0,0,0,0,0,7,3,7,3,0,0
8915,990000,7,1,0,0,0,0,0,0,0,0,0,11,8,12,8,0,0
8915,990000,10,0,0,0,0,0,0,0,0,0,0,0,0,8,7,8,7
9786,70000,2,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0
9786,70000,3,0,0,0,0,0,0,0,0,0,0,8,22,8,22,0,0
9786,120000,2,0,0,0,0,0,0,0,1,0,0,0,6,0,7,0,0
9786,150000,3,0,0,0,0,0,0,0,0,0,0,17,2,17,2,0,0
9786,200000,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
9786,240000,3,0,0,0,0,0,0,0,0,0,0,2,4,2,4,0,0
9786,300000,3,0,0,0,0,0,0,0,0,0,0,17,17,17,17,0,0
9786,470000,3,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0
9786,480000,3,0,0,0,0,0,0,0,0,0,0,10,1,10,1,0,0
9786,990000,2,0,0,0,0,0,0,0,1,0,0,0,9,0,10,0,0
9786,990000,3,0,0,0,0,0,0,0,0,0,0,58,46,58,46,0,0
10668,390000,2,0,0,1,1,0,0,0,0,0,0,4,7,5,8,0,0
10668,390000,3,0,0,0,0,0,0,0,0,0,0,2,3,2,3,0,0
10668,390000,5,5,2,12,3,0,0,3,1,4,2,65,37,89,45,0,0
10668,390000,7,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0
10668,390601,10,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0
10668,990000,2,0,0,1,1,0,0,0,0,0,0,4,7,5,8,0,0
10668,990000,3,0,0,0,0,0,0,0,0,0,0,2,3,2,3,0,0
10668,990000,5,5,2,12,3,0,0,3,1,4,2,65,37,89,45,0,0
10668,990000,7,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0
10668,990000,10,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0
11600,60000,3,0,0,4,11,0,0,0,0,0,0,1,3,5,14,0,0
11600,70000,2,0,0,0,6,0,0,0,0,0,0,0,3,0,9,0,0
11600,70000,3,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0
11600,80000,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
11600,110000,2,0,0,2,3,0,0,0,0,0,0,2,0,4,3,0,0
11600,990000,2,0,0,2,9,0,0,0,0,0,0,2,3,4,12,0,0
11600,990000,3,0,0,4,14,0,0,0,0,0,0,1,3,5,17,0,0
