unitid,"cipcode",awlevel,crace01,crace02,crace03,crace04,crace05,crace06,crace07,crace08,crace09,crace10,crace11,crace12,bal_m,bal_w,crace15,crace16
100706,"42.0000",5,0,0,0,0,0,0,0,0,0,0,1,5,0,0,1,5
100706,"42.0000",7,0,0,0,0,0,0,0,0,0,0,,2,,0,,2
100706,"43.0000",5,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,3
100706,"45.0000",5,0,0,0,0,1,,0,0,0,0,11,11,0,0,12,11
100706,"50.0000",5,0,0,0,0,0,0,0,0,0,0,6,7,0,0,6,7
100706,"99.0000",1,0,0,1,4,0,0,0,0,0,0,77,38,0,0,78,42
100706,"99.0000",2,0,0,0,1,0,0,1,0,0,0,19,7,0,0,20,8
100706,"99.0000",5,9,,6,18,2,,9,7,,2,308,360,0,0,334,387
100706,"99.0000",7,19,3,,2,,,3,3,,,59,52,0,0,81,60
100706,"99.0000",9,3,2,,,,,2,,,,7,,0,0,12,2
100724,"06.0000",3,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,3
100724,"06.0000",5,3,,22,27,0,0,0,0,0,0,0,0,0,0,25,27
100724,"07.0000",3,0,0,,2,0,0,0,0,0,0,0,0,,0,,2
100724,"07.0000",5,0,0,5,38,0,0,0,0,0,0,0,0,0,0,5,38
100724,"09.0000",5,,2,12,10,0,0,0,0,0,0,0,0,0,0,12,12
100724,"11.0000",5,5,,20,35,0,0,0,0,0,0,0,0,0,0,25,35
100724,"13.0000",5,0,0,3,11,0,0,,,,,,,0,0,3,11
100724,"13.0000",7,0,0,15,54,0,0,,1,,1,3,2,0,0,18,58
100724,"13.0000",8,0,0,,,0,0,,1,,,,,,0,,1
100724,"17.0000",5,0,0,2,6,0,0,0,0,0,0,0,0,0,0,2,6
100724,"20.0000",3,0,0,,3,0,0,0,0,0,0,0,0,,0,,3
100724,"23.0000",5,0,0,3,3,0,0,0,0,0,0,0,0,0,0,3,3
100724,"26.0000",5,,,2,4,0,0,0,0,0,0,0,0,0,0,2,4
100724,"26.0000",7,1,,,,0,0,0,0,0,0,0,0,0,,1,
100724,"27.0000",5,,1,8,1,0,0,,,0,0,0,0,0,0,8,2
100724,"27.0000",7,,,1,,0,0,1,,0,0,0,0,0,,2,
100724,"31.0000",5,0,0,11,5,0,0,0,0,0,0,0,0,0,0,11,5
100724,"40.0000",5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1
100724,"42.0000",5,0,0,4,3,0,0,0,0,0,0,0,0,0,0,4,3
100724,"43.0000",5,,1,24,29,0,0,0,0,0,0,0,0,0,0,24,30
100724,"44.0000",5,0,0,5,24,0,0,,,0,0,,,0,0,5,24
100724,"44.0000",7,0,0,3,17,0,0,1,,0,0,1,,0,0,5,17
100724,"45.0000",5,0,0,8,4,0,0,0,0,0,0,0,0,0,0,8,4
100724,"50.0000",5,0,0,3,,0,0,0,0,0,0,0,0,0,,3,
100724,"50.0000",7,0,0,1,,0,0,0,0,0,0,0,0,0,,1,
